spine_no,cover_img,title,url,director,country,year
,https://s3.amazonaws.com/criterion-production/films/85c52899a6a25ec00fcb03d8fc912a9d/plZLBLDmkunHHkEPgNfYcBA6ExkIHI_thumbnail.jpg,Anthem,https://www.criterion.com/films/31184-anthem,Marlon Riggs,United States,1991
542,https://s3.amazonaws.com/criterion-production/films/53b12b4865b46a7cc4964aa6a109dbed/rRvNvlw8t9cJqmYwraVhUKILW0nMOl_thumbnail.jpg,Antichrist,https://www.criterion.com/films/27524-antichrist,Lars von Trier,Denmark,2009
425,https://s3.amazonaws.com/criterion-production/films/9fbb1fd3e4b0e01dba200e753955bb7a/NKIsmQqC7PGzqels7ynuEsT5dqK8Zs_thumbnail.jpg,Antonio Gaudí,https://www.criterion.com/films/536-antonio-gaud,Hiroshi Teshigahara,Japan,1984
784,https://s3.amazonaws.com/criterion-production/films/26af2324e588cba90abc88b79473c2d3/fElHfeXimKlIlqLvMMecSnfHwamhs9_thumbnail.jpg,Aparajito,https://www.criterion.com/films/28443-aparajito,Satyajit Ray,India,1956
,https://s3.amazonaws.com/criterion-production/films/a37d26c23f96e4eba9a889935077c26a/4ZhkmFAB7NPyNZUWNt3cnAzfbyKHos_thumbnail.jpg,Apart from You,https://www.criterion.com/films/27546-apart-from-you,Mikio Naruse,Japan,1933
785,https://s3.amazonaws.com/criterion-production/films/bb4526672a1c4dd6cebe627f47a8d5bb/XvLAwpDGFm16yk6hF5bka8N42nv95D_thumbnail.jpg,Apur Sansar,https://www.criterion.com/films/27905-apur-sansar,Satyajit Ray,India,1959
782,https://s3.amazonaws.com/criterion-production/product_images/1775-df51a1f635a7d24d2a0d70499b18b798/m4wqBDnbWqMadC0Ng6AFI01DFE9FtQ_small.jpg,The Apu Trilogy,https://www.criterion.com/boxsets/1145-the-apu-trilogy,,,
634,https://s3.amazonaws.com/criterion-production/films/22e6497dc50a3771d97e6cee35b58ad1/cXPrZSzVV5Zs7cKMSLjmXBckfyGiN9_thumbnail.jpg,Arabian Nights,https://www.criterion.com/films/28374-arabian-nights,Pier Paolo Pasolini,Italy,1974
886,https://s3.amazonaws.com/criterion-production/films/f700b2d43d7829bc795538602dc4120c/Na4b95E94g2wpH1f7iNU4pZj74NWOZ_thumbnail.jpg,L’argent,https://www.criterion.com/films/27588-l-argent,Robert Bresson,France,1983
,https://s3.amazonaws.com/criterion-production/films/b161a43e4f76d2c7641d3902c02b2580/7363A7rOIsQ8A29xubLhSwb9iig7jw_thumbnail.jpg,Ariel,https://www.criterion.com/films/959-ariel,Aki Kaurismäki,Finland,1988
